,lien,job_desc
0,https://fr.indeed.com/rc/clk?jk=46496e4e2dd204e2&amp,
1,https://fr.indeed.com/rc/clk?jk=239601844e402bda&amp,
2,https://fr.indeed.com/rc/clk?jk=cf1f04a4a5a10194&amp,
3,https://fr.indeed.com/rc/clk?jk=9fe9d18e9a256264&amp,
4,https://fr.indeed.com/rc/clk?jk=506d72714906f1a4&amp,
5,https://fr.indeed.com/rc/clk?jk=9496c058d7f96dad&amp,
6,https://fr.indeed.com/rc/clk?jk=c614f44201910ae8&amp,
7,https://fr.indeed.com/rc/clk?jk=612718194347d52e&amp,
8,https://fr.indeed.com/company/NATAN/jobs/Data-Engineer-Mlops-ffc64ea7dd8212cc?fccid=a7c135c964833e34&amp,"Vous êtes à la recherche d'une entreprise dynamique qui sera à l’écoute de votre projet professionnel ?
Ça tombe bien, en rejoignant NATAN vous retrouverez une ESN ambitieuse portée par le goût de l’excellence.
Nous mettons particulièrement l’accent sur l’accompagnement, la proximité et la stabilité de nos collaborateurs afin de permettre à nos équipes de travailler dans des conditions idéales.
Notre stratégie est simple : accompagner nos collaborateurs à chaque étape de leur carrière pour qu'ils soient en mesure d'apporter toute leur expertise à nos clients. Nous sommes convaincus que notre réussite réside dans notre capacité à créer un cercle vertueux où chacun des acteurs s'investit dans un but commun.
Nous intervenons sur des projets à forte valeur ajoutée et sur un périmètre exclusivement grands comptes.
En intégrant NATAN, vous avez l'assurance de bénéficier d'un véritable accompagnement tout au long de votre carrière, en bénéficiant de formations et certifications, de choix de mission, et de projets, adaptés à votre développement professionnel.
LE POSTE
Data & MLOps Engineer en CDI.
Les missions
Au sein de la Direction des Systèmes d'Information Cliente (Contexte Finance), vous intégrerez une équipe informatique où vous interviendrez en tant qu'ingénieur Data & MLOps sur des projets centrés sur la donnée.
Dans ce cadre, vous aurez à couvrir les responsabilités suivantes :

Assurer la liaison et collaborer directement avec les scientifiques des données, les Quants, les gestionnaires de portefeuille et les TI


Concevoir et développer une infrastructure ML sur Azure, ce qui impliquera de produire des travaux de science des données


En charge des activités de production et de post-production pour soutenir l'équipe de livraison (déploiement de code, tests et suivi continu de la pile)


Configurer le processus MLOps pour les modèles de ML


Intégrer le code en suivant toutes les normes informatiques et maintenir l'environnement


Fournir un encadrement et un point de concentration pour les demandes liées au cloud Azure


Contribuer à la conception de nouvelles normes liées à l'infrastructure Cloud

Pour mener à bien ces missions, vous serez en contact régulier avec les entreprises, les data scientists, les opérations IT & la sécurité informatique.
Ce poste à responsabilité vous permettra de développer vos compétences dans un contexte entrepreneurial et international. Dans le cadre de l'activité régulière du service, plusieurs déplacements sont à prévoir en Allemagne au cours de l'année.
Profil
 Bac +5
 3 ans d'expériences significatives dans la production de modèles de machine learning avec Azure : conception, déploiement et suivi de modèles (qualité des données, data drift, concept drift, feedback loop…)
 Bonne connaissance des technologies d'ingénierie de données en particulier sur Apache Spark
 Expérience sur DevOps (utilisant Github, Azure DevOps) et développement de pipelines CI/CD
 Bonne expérience dans Azure Cloud (Azure ML, Azure data factory, Azure Databricks…)
 Expérience avec ETL (Extraction, Transformation et Chargement) dans Azure
 Solide expérience en Python, par ex. packages et gestion des packages dans le déploiement de modèles évolutifs
 Solide connaissance de Shell, Python ou de l'un des langages de programmation suivants : Java, Scala, .NET
 Outils de gestion de configuration et de déploiement (Terraform, Puppet, Ansible, etc.)
 Connaissance des métiers de la Finance et de la Banque
 Connaissance des données financières et de la modélisation financière quantitative
 Connaissance des données alternatives structurées et non structurées
 Connaissance des infrastructures informatiques
Les plus
 Maîtrise de l'anglais
 Curieux, passionné & proactif, vous suivez l'évolution des technologies et innovations liées au Big Data
 Autonome, rigoureux & structuré
 Leadership
 Grande compétence en communication orale et écrite
§ Location : Paris Porte de Clichy
Type d'emploi : Temps plein, CDI
Salaire : 58 000,00€ à 70 000,00€ par an
Horaires :

Travail en journée

Expérience:

Machine learning: 3 ans (Exigé)
DevOps: 1 an (Exigé)
Azure: 1 an (Exigé)"
9,https://fr.indeed.com/rc/clk?jk=0403e85ee6c5df41&amp,
